SA2 2011,SA2 2016,Weight
115011291,115011291,1
115011292,115011553,0.262683
115011292,115011555,0.4140354
115011292,115011556,0.3232816
115011293,115011554,0.2289908
115011293,115011558,0.7710092
115011294,115011294,0.9999998
115011294,115011555,0.0000002
115011295,115011557,0.21657
115011295,115011559,0.78343
115011296,115011296,1
115021297,115021297,1
115021298,115021298,1
115031299,115031299,1
115031300,115031300,1
115041301,115041301,1
115041302,115041302,1
116011303,116011303,1
116011304,116011304,1
116011305,116011560,0.4356778
116011305,116011561,0.5643222
116011306,116011306,1
116011307,116011307,1
116011308,116011308,1
116021309,116021309,1
116021310,116021310,0.9999132
116021310,116021563,0.0000868
116021311,116021562,0.1426245
116021311,116021563,0.8573755
116021312,116021312,1
116031313,116031313,1
116031314,116031314,1
116031315,116031315,1
116031316,116031316,1
116031317,116031317,1
116031318,116031318,1
116031319,116031319,1
117011320,117011320,1
117011321,117011321,1
117011322,117011322,1
117011323,117011323,1
117011324,117011324,1
117011325,117011325,1
117021326,117021326,1
117021327,117021327,1
117021328,117021328,1
117031329,117031329,1
117031330,117031330,1
117031331,117031331,1
117031332,117031332,1
117031333,117031333,1
117031334,117031334,1
117031335,117031335,1
117031336,117031336,1
117031337,117031337,1
117031338,117031338,1
118011339,118011339,1
118011340,118011340,1
118011341,118011341,1
118011342,118011342,1
118011343,118011343,1
118011344,118011344,1
118011345,118011345,1
118011346,118011346,1
118011347,118011347,1
118021348,118021348,1
118021349,118021564,0.4753682
118021349,118021565,0.5246318
118021350,118021350,1
118021351,118021566,0.3124938
118021351,118021567,0.3630163
118021351,118021568,0.3244899
118021352,118021569,0.5822845
118021352,118021570,0.4177155
119011353,119011571,0.4991566
119011353,119011572,0.5008434
119011354,119011354,1
119011355,119011355,1
119011356,119011356,1
119011357,119011357,1
119011358,119011358,1
119011359,119011359,1
119011360,119011360,1
119011361,119011361,1
119021362,119021362,1
119021363,119021363,1
119021364,119021364,1
119021365,119021573,0.615241
119021365,119021574,0.384759
119021366,119021366,1
119021367,119021367,1
119031368,119031368,1
119031369,119031369,1
119031370,119031370,1
119031371,119031371,1
119031372,119031372,1
119031373,119031373,1
119031374,119031374,1
119041375,119041375,1
119041376,119041376,0.999945
119041376,119041378,0.000055
119041377,119041377,1
119041378,119041378,1
119041379,119041379,1
119041380,119041380,1
119041381,119041381,1
119041382,119041382,1
120011383,120011383,1
120011384,120011384,1
120011385,120011385,1
120011386,120011386,1
120021387,120021387,1
120021388,120021388,1
120021389,120021389,1
120031390,120031390,1
120031391,120031391,1
120031392,120031392,1
120031393,120031393,1
120031394,120031394,1
120031395,120031395,1
120031396,120031396,1
120031397,120031575,0.8764705
120031397,120031576,0.1235295
121011398,121011398,1
121011399,121011399,1
121011400,121011400,1
121011401,121011401,1
121011402,121011402,1
121021403,121021403,1
121021404,121021404,1
121021405,121021406,0.0006809
121021405,121021577,0.3646983
121021405,121021578,0.3399152
121021405,121021579,0.2947055
121021406,121021406,1
121031407,121031407,1
121031408,121031408,1
121031409,121031409,1
121031410,121031410,1
121031411,121031411,1
121031412,121031412,1
121041413,121041413,1
121041414,121041414,1
121041415,121041415,1
121041416,121041416,1
121041417,121041417,1
122011418,122011418,1
122011419,122011419,1
122021420,122021420,1
122021421,122021421,1
122021422,122021422,1
122021423,122021421,0.0014648
122021423,122021423,0.9985352
122031424,122031424,1
122031425,122031425,1
122031426,122031426,1
122031427,122031427,1
122031428,122031428,1
122031429,122031429,1
122031430,122031430,1
122031431,122031431,1
122031432,122031432,1
123011433,123011433,1
123011434,123011434,1
123011435,123011435,1
123021436,123021436,1
123021437,123021437,1
123021438,123021438,1
123021439,123021439,1
123021440,123021440,1
123021441,123021441,1
123021442,123021442,1
123021443,123021443,1
123021444,123021444,1
123031445,123031445,1
123031446,123031446,1
123031447,123031447,1
123031448,123031448,1
124011449,124011449,1
124011450,124011450,1
124011451,124011451,1
124011452,124011452,1
124011453,124011453,1
124011454,124011454,1
124011455,124011455,1
124021456,124021456,1
124031457,124031457,1
124031458,124031458,1
124031459,124031459,1
124031460,124031460,0.9996229
124031460,124031463,0.0003771
124031461,124031461,1
124031462,124031462,1
124031463,124031463,0.9797804
124031463,127011592,0.0202196
124031464,124031464,1
124031465,124031465,1
124041466,124041466,1
124041467,124041467,1
124041468,124041468,1
124051469,124051469,1
124051470,124051470,1
124051471,124051580,0.4272289
124051471,124051581,0.5727711
125011472,125011582,0.4705044
125011472,125011583,0.2986962
125011472,125011584,0.2307993
125011473,125011473,1
125011474,125011585,0.2811278
125011474,125011586,0.5560486
125011474,125011587,0.1628236
125011475,125011475,1
125021476,125021476,1
125021477,125021477,1
125021478,125021478,1
125031479,125031479,1
125031480,125031480,1
125031481,125031481,1
125031482,125031482,1
125031483,125031483,1
125031484,125031484,1
125031485,125031485,1
125031486,125031486,1
125031487,125031487,1
125041488,125041588,0.4424
125041488,125041589,0.5576
125041489,125041489,1
125041490,125041490,1
125041491,125041491,1
125041492,125041492,1
125041493,125041493,1
125041494,125041494,1
126011495,126011495,1
126011496,126011496,1
126021497,126021497,1
126021498,126021498,1
126021499,126021499,1
126021500,126021500,1
126021501,126021501,1
126021502,126021590,0.1559885
126021502,126021591,0.8440115
126021503,126021503,1
127011504,127011504,1
127011505,127011505,0.9077243
